date,calories,carbohydrates,fat,protein
2025-04-22,0.0,0.0,0.0,0.0
2025-04-23,0.0,0.0,0.0,0.0
2025-04-24,1297.0,124.0,47.0,82.0
2025-04-25,2022.0,122.0,123.0,138.0
